Date,Price
2023-09-19,26763.76
2023-09-20,27222.12
2023-09-21,27133.55
2023-09-22,26569.6
2023-09-23,26581.86
2023-09-24,26580.72
2023-09-25,26252.75
2023-09-26,26293.29
2023-09-27,26212.82
2023-09-28,26357.65
2023-09-29,27021.15
2023-09-30,26916.91
2023-10-01,26970.43
2023-10-02,27983.92
2023-10-03,27532.51
2023-10-04,27430.23
2023-10-05,27797.56
2023-10-06,27416.69
2023-10-07,27946.61
2023-10-08,27973.26
2023-10-09,27937.18
2023-10-10,27581.42
2023-10-11,27395.65
2023-10-12,26867.79
2023-10-13,26758.66
2023-10-14,26866.51
2023-10-15,26855.89
2023-10-16,27167.87
2023-10-17,28517.32
2023-10-18,28413.17
2023-10-19,28331.5
2023-10-20,28723.49
2023-10-21,29682.6
2023-10-22,29921.68
2023-10-23,29990.73
2023-10-24,33059.98
2023-10-25,33902.65
2023-10-26,34493.19
2023-10-27,34157.79
2023-10-28,33911.08
2023-10-29,34090.68
2023-10-30,34532.39
2023-10-31,34501.0
2023-11-01,34662.16
2023-11-02,35440.51
2023-11-03,34934.65
2023-11-04,34736.55
2023-11-05,35088.05
2023-11-06,35048.35
2023-11-07,35035.12
2023-11-08,35436.28
2023-11-09,35629.52
2023-11-10,36696.25
2023-11-11,37321.65
2023-11-12,37140.27
2023-11-13,37058.98
2023-11-14,36497.35
2023-11-15,35545.97
2023-11-16,37891.48
2023-11-17,36155.5
2023-11-18,36624.3
2023-11-19,36588.13
2023-11-20,37396.17
2023-11-21,37479.96
2023-11-22,35808.95
2023-11-23,37427.42
2023-11-24,37297.56
2023-11-25,37720.5
2023-11-26,37800.94
2023-11-27,37468.89
2023-11-28,37248.86
2023-11-29,37832.75
2023-11-30,37867.37
2023-12-01,37711.79
2023-12-02,38697.81
2023-12-03,39476.4
2023-12-04,39976.04
2023-12-05,41985.55
2023-12-06,44076.76
2023-12-07,43745.3
2023-12-08,43298.7
2023-12-09,44184.18
2023-12-10,43709.41
2023-12-11,43787.81
2023-12-12,41238.31
2023-12-13,41458.49
2023-12-14,42887.09
2023-12-15,43023.24
2023-12-16,41934.71
2023-12-17,42236.81
